,genus,Mean_Score
267,g__2-12-FULL-49-11,2.211460344
268,g__2-12-FULL-50-11,1.572508695
269,g__2-12-FULL-50-11-A,2.193475427
270,g__2-12-FULL-52-36,2.092497452
271,g__2-12-FULL-53-21,2.316136787
272,g__2-12-FULL-54-10,2.60697554
273,g__2-12-FULL-55-11,2.037470679
274,g__2-12-FULL-57-11,1.249560956
275,g__2-12-FULL-57-22,3.19501775
276,g__2-12-FULL-60-19,3.137097707
277,g__2-12-FULL-60-25,1.775496672
278,g__2-12-FULL-62-27,2.824003438
279,g__2-12-FULL-64-23,3.06801943
280,g__2-12-FULL-65-11,2.822063225
281,g__2-12-FULL-66-21,3.569792225
282,g__2-12-FULL-67-15,2.341332123
283,g__2-12-FULL-68-20,2.731749162
284,g__2-12-FULL-69-37,2.446391975
285,g__20-14-0-80-47-9,2.322633746
286,g__20-14-0-80-50-8,1.701528788
287,g__20-14-all-45-10,2.254733169
288,g__20-14-all-54-14,1.607159781
289,g__20-60-12,2.707074842
290,g__2011-GWA2-47-8b,1.524605399
291,g__2011-GWC2-44-17,2.322707516
292,g__2013-40CM-41-45,2.918535562
293,g__20CM-2-55-15,4.037055414
294,g__20CM-2-65-7,2.461609298
295,g__20CM-2-70-11,2.903514725
296,g__20CM-4-69-16,2.278139893
297,g__21-14-0-10-32-9,2.222801773
298,g__21-14-0-10-35-9,2.06263475
299,g__21-14-0-10-42-9,1.64480075
300,g__21-14-0-10-47-8,3.03419341
301,g__21-14-0-10-47-8-A,1.634509543
302,g__21-14-0-20-44-7,2.361216825
303,g__21-14-0-20-46-8,2.12991569
304,g__21-14-0-20-56-8,2.397628556
305,g__21-14-0-20-63-9,1.680361482
306,g__21-14-all-36-13,1.533392528
307,g__21-14-all-37-9,1.144436926
308,g__21-14-all-39-27,4.137839199
309,g__21-14-all-40-8,2.905557312
310,g__21-14-all-47-15,1.713816642
311,g__21-14-all-47-17,1.523717114
312,g__21-64-14,2.671571885
313,g__28-57-27,2.693125657
314,g__28-YEA-48,3.615713976
315,g__3-1-20CM-2-70-9,2.502114374
316,g__3-1-20CM-3-53-8,4.054360468
317,g__3-1-20CM-4-69-9,2.452783909
318,g__3107,2.549340076
319,g__32-111,2.054456675
320,g__33-17,2.763585515
321,g__336-3,3.967561541
322,g__34-128,2.120647193
323,g__34-65-8,2.966780448
324,g__38-11,2.821101838
325,g__39-52-133,3.539561659
326,g__40-19,2.173532199
327,g__40-80,3.760965695
328,g__40CM-2-53-6,2.597404253
329,g__40CM-2-70-7,2.11075266
330,g__40CM-3-55-5,2.730811327
331,g__40CM-3-62-11,2.285126492
332,g__40CM-4-65-16,2.611720116
333,g__40CM-4-68-19,3.209420038
334,g__40CM-4-69-5,2.823417747
335,g__40CM-68-15,3.491603335
336,g__41-12-T18,2.664500248
337,g__41-269,2.329033981
338,g__41T-STBD-0c-01a,3.064733263
339,g__42-11,2.196474233
340,g__42-54-T18,4.402958706
341,g__43-108,2.104427674
342,g__43-37,2.477820891
343,g__4484-100,2.276587277
344,g__4484-107,2.044544493
345,g__4484-113,2.129258706
346,g__4484-171,1.702183644
347,g__4484-188,2.167761171
348,g__4484-190-2,2.973657767
349,g__4484-211,1.360992035
350,g__4484-213,1.685230525
351,g__4484-219,1.814171152
352,g__4484-230,2.89929809
353,g__4484-232,1.73165491
354,g__4484-275,1.850146382
355,g__4484-276,2.493560986
356,g__4484-49,1.490601494
357,g__4484-7,2.005068845
358,g__4484-87,2.562735669
359,g__4484-93,2.043806999
360,g__4484-95,2.331443206
361,g__4572-104,2.22389328
362,g__4572-112,2.604178639
363,g__4572-123,3.212150122
364,g__4572-128,2.445271807
365,g__4572-13,2.052534954
366,g__4572-130,2.283865828
367,g__4572-55,3.1562333
368,g__4572-78,2.798190782
369,g__46-47,2.144322724
370,g__46-80,2.379181373
371,g__4M-Z18,4.08119788
372,g__50-218,2.111931079
373,g__50-400-T64,2.877861202
374,g__51-20,2.606880358
375,g__54-19,4.016343889
376,g__55-13,2.829905604
377,g__58-81,2.24574213
378,g__62-47,3.515598672
379,g__629B-23,2.106184897
380,g__63-22,3.842671798
381,g__630D-37,2.538976687
382,g__64-32,1.958069534
383,g__65-79,3.570214796
384,g__65-9,4.051673417
385,g__66-26,3.456571586
386,g__66-474,2.400393156
387,g__67-14,2.558317488
388,g__6H3-1,2.81525317
389,g__70-18,3.557162145
390,g__73-13,2.029717464
391,g__79-D21,2.147367378
392,g__9FT-COMBO-42-15,2.326114069
393,g__9FT-COMBO-48-23,2.467599338
394,g__9FT-COMBO-53-11,1.486158469
395,g__9FT-COMBO-55-16,2.727745201
396,g__A-MIC-10,1.843631411
397,g__A05DMB-2,2.531569468
398,g__A07HB70,2.466321066
399,g__A373,2.076387309
400,g__A37T11,3.024677704
401,g__A9E412,3.085776569
402,g__AA152,2.421969329
403,g__AA29,3.284416614
404,g__AA32,3.205737296
405,g__AAA044-D11,3.001161815
406,g__AAA071-K20,2.4262115
407,g__AAA164-E04,3.186844266
408,g__AAA240-E13,1.526747089
409,g__AAA261-N23,2.116320005
410,g__AAA300-D14,2.095899714
411,g__AAA536-G10,2.206241358
412,g__AABM5-125-24,2.31637989
413,g__AAP99,3.178090375
414,g__AB-137-C09,2.559897425
415,g__AB-629-J13,2.019554537
416,g__AB001-6,2.204663116
417,g__AB1-6,1.684790388
418,g__AC-14,3.089624143
419,g__AC-16,3.127704212
420,g__AC-21,2.490842581
421,g__AC-25,2.23021422
422,g__AC-32,2.348039118
423,g__AC-35,2.610479262
424,g__AC-37,2.061789423
425,g__AC-38,2.02825493
426,g__AC-48,2.521685802
427,g__AC-49,2.784360054
428,g__AC-50,2.021737746
429,g__AC-51,2.420486145
430,g__AC-52,2.21039704
431,g__AC-55,2.357363956
432,g__AC-56,2.196376422
433,g__AC-64,2.192289555
434,g__AC-67,2.379680769
435,g__AC-69,2.163543077
436,g__AC-9,2.768001978
437,g__AC2028,2.961743557
438,g__ACE-ARM1,2.632303541
439,g__AD8-1,2.064575777
440,g__AE-B3A,1.980574763
441,g__AE-B3B,1.803701398
442,g__AEGEAN-183,2.202137337
443,g__AER2-1,2.427804195
444,g__AF33-28,3.964297003
445,g__AG-12,2.830446754
446,g__AG-337-I02,1.691751974
447,g__AG-339-G14,1.882779423
448,g__AG-343-D04,1.985664892
449,g__AG-363-A16,2.359822378
450,g__AG-363-B04,2.381469008
451,g__AG-363-J23,2.302572702
452,g__AG-363-K07,2.239244952
453,g__AG-363-N16,2.027733719
454,g__AG-363-N20,2.424250788
455,g__AG-363-O06,2.084372421
456,g__AG-363-O15,2.185484328
457,g__AG-363-P08,2.016187845
458,g__AG-402-N21,2.134742791
459,g__AG-409-A19,2.123296998
460,g__AG-409-B05,2.322776529
461,g__AG-409-B13,2.254638153
462,g__AG-409-D09,2.160098153
463,g__AG-409-G20,2.340059185
464,g__AG-409-I11,2.36221898
465,g__AG-409-J16,2.200890858
466,g__AG-409-J19,2.269599079
467,g__AG-409-L14,2.020899832
468,g__AG-409-L18,2.482209106
469,g__AG-409-M05,2.211369606
470,g__AG-409-N21,2.415655828
471,g__AG-409-O23,2.135796718
472,g__AG-409-P01,2.377828032
473,g__AG-409-P03,2.068066677
474,g__AG-410-N11,2.113450011
475,g__AG-414-E02,1.544954208
476,g__AG-422-B15,1.842805276
477,g__AG-426-I14,2.113785305
478,g__AG-426-M11,2.131310713
479,g__AG-430-B22,2.019558854
480,g__AG-463-P14,2.282731373
481,g__AG1,2.440878846
482,g__AG11,3.040642194
483,g__AG12,2.942256814
484,g__AG2,2.925815641
485,g__AG25,2.17624615
486,g__AG29,2.126398195
487,g__AG41,2.3549717
488,g__AGPOR5,3.282331724
489,g__AHLZ01,3.855492309
490,g__AK92,3.719434117
491,g__AKCV01,3.602283824
492,g__AL-N1,4.507727668
493,g__AM-0621,5.157297778
494,g__AM-1111,3.010428852
495,g__AM-2324,3.316056268
496,g__AMARA-1,2.898510103
497,g__AMAZON01,2.133306774
498,g__ANME-1-THS,2.324264201
499,g__ANME1a,2.078446345
500,g__ANT-38,2.392946548
501,g__ANT-B6,3.044708527
502,g__AP-15,3.088936942
503,g__AP-16,2.929867011
504,g__AQU-01,1.989169588
505,g__AQU-03,3.461089131
506,g__AQU-09,2.207992882
507,g__AR12,3.636528545
508,g__AR19,2.883513732
509,g__AR31,3.73475716
510,g__AR37,3.292125092
511,g__AR5,3.315426612
512,g__AR8,3.399023282
513,g__AR9,2.60471454
514,g__ARK-14,2.130891316
515,g__ARK-15,2.312155137
516,g__ARM-1,1.542426588
517,g__ARS10,5.851227882
518,g__ARS1013,2.098877218
519,g__ARS1178,1.39487745
520,g__ARS1224,1.86685885
521,g__ARS1285,2.433978509
522,g__ARS1301,1.59531347
523,g__ARS1309,1.799086857
524,g__ARS1403,1.198800242
525,g__ARS21,1.995275781
526,g__ARS23,4.150965323
527,g__ARS50,1.96122943
528,g__ARS69,2.276296949
529,g__ARS98,3.322648328
530,g__ASMP01,1.68497012
531,g__ASP10-02a,3.350588594
532,g__ASP10-05a,2.641718118
533,g__ASV31,3.473699271
534,g__ATBO01,3.05540415
535,g__ATCC-39006,4.410476128
536,g__ATM1,2.501881492
537,g__ATN2,2.89486931
538,g__ATN3,2.416473024
539,g__ATX-6F1,3.029334145
540,g__ATZT02,2.388817692
541,g__AU392,2.643315563
542,g__AUK083,1.917813484
543,g__AUK093,2.014065826
544,g__AUK180,2.229614241
545,g__AUK232,2.21244135
546,g__AUK310,2.017419035
547,g__AUK324,3.147574808
548,g__AV133,2.090157381
549,g__AV17,2.058381551
550,g__AV2,3.446286963
551,g__AV40,2.210423773
552,g__AV69,2.452378242
553,g__AV80,2.968922918
554,g__AVCC01,4.260356648
555,g__AWOC01,1.769897378
556,g__AWTP1-13,3.548829795
557,g__AWTP1-18,3.392054606
558,g__AWTP1-30,2.367116872
559,g__AWTP1-31,2.653212771
560,g__AWTP1-35,2.694664436
561,g__AWTP1-9,3.323017293
562,g__AWVT01,2.528977662
563,g__AZRK01,1.689463524
564,g__AaIE-18,2.287118028
565,g__Aadella,1.986289463
566,g__Aalborg-AAW-1,2.719911781
567,g__Abditibacterium,2.941384737
568,g__Abiotrophia,3.837743407
569,g__Absicoccus,3.182754141
570,g__Abyssalbus,3.118567393
571,g__Abyssibacter,3.336412417
572,g__Abyssibius,3.292401038
573,g__Abyssicoccus,2.91457476
574,g__Abyssisolibacter,3.466751553
575,g__Abzuiibacterium,2.133147226
576,g__Ac37b,2.189176504
577,g__AcAMD-2,2.644977785
578,g__AcAMD-5,2.552041159
579,g__Acanthopleuribacter,4.979563845
580,g__Acaricomes,2.980771883
581,g__Acaryochloris,3.917219697
582,g__Accumulibacter,3.374140567
583,g__Acd1,2.095989148
