"","OTU","Wlab","Wlight","Z","Gi","Mlight","Mheavymax","Mlab","A","A_CI_low","A_CI_high","Incorporator","CM_control","CM_treatment","delta_BD","Culture","Substrate","copy_number","id","Domain","Phylum","Class","Order","Family","Genus","Species"
"92","748289d833e671b4848c77b9443c2034",1.77098226487332,1.76315201633642,0.00783024853690839,1.40223476560265,308.386508443739,317.661738423112,309.756068744933,0.146017004234255,0.146017004234255,0.146017004234255,TRUE,1.7735210299048,1.76896877471064,-0.00455225519415192,"Chemostat","Multi",1,"chemo_carb","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","uncultured",""
"93","755afc7ffddcfd5e093ea2222f4affd6",1.78456859032636,1.77375337815561,0.0108152121707461,1.52918806020661,308.449477277862,317.661392069134,310.3302046562,0.201893760115054,0.201893760115054,0.201893760115054,TRUE,1.78614583180508,1.77934388746934,-0.00680194433573122,"Batch","Single",1,"batch_glu","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Cephaloticoccus","uncultured bacterium"
"94","755afc7ffddcfd5e093ea2222f4affd6",1.78568678117102,1.77222788488996,0.0134588962810551,1.5109199924552,308.440416316258,317.661441908077,310.782816866142,0.25120535659685,0.25120535659685,0.25120535659685,TRUE,1.7845087937079,1.78434807159172,-0.000160722116171019,"Batch","Multi",1,"batch_carb","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Cephaloticoccus","uncultured bacterium"
"95","7580ff42ec296410fd9b751933c26164",1.78093374281431,1.78010876475386,0.000824978060446568,1.60529500579437,308.487226322874,317.661184434165,308.630192414993,0.0154107315522751,0.0154107315522751,0.0154107315522751,TRUE,1.78637600401471,1.78151142646995,-0.00486457754475511,"Batch","Multi",2,"batch_carb","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group",""
"96","7580ff42ec296410fd9b751933c26164",1.7795324772119,1.77395070179027,0.00558177542162586,1.53155104771242,308.450649319665,317.661385622432,309.421196162607,0.104200334760902,0.104200334760902,0.104200334760902,TRUE,1.78210199312523,1.77483999562324,-0.00726199750199497,"Batch","Single",2,"batch_glu","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29 marine group",""
"97","76a2e443105acc53d3461f176f38148c",1.78257388826543,1.77364133436636,0.00893255389906655,1.52784631483201,308.448811772157,317.661395729684,310.002246270368,0.166747161113079,0.166747161113079,0.166747161113079,TRUE,1.78266674957592,1.77932975265988,-0.00333699691604106,"Batch","Multi",4,"batch_carb","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio",""
"98","76a2e443105acc53d3461f176f38148c",1.81010385171682,1.77493116187695,0.0351726898398712,1.54329224100003,308.456472951536,317.661353590108,314.568960063854,0.656669366583237,0.656669366583237,0.656669366583237,TRUE,1.78764145039177,1.81255991233252,0.0249184619407536,"Batch","Single",4,"batch_glu","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio",""
"99","788f25619c77abb69cf199dd19233eb4",1.78578438855345,1.78074234884605,0.00504203970740424,1.6128822940393,308.490989617843,317.661163734525,309.364458943733,0.0941926549599702,0.0941926549599702,0.0941926549599702,TRUE,1.7875926364567,1.78538817961311,-0.00220445684358883,"Batch","Multi",1,"batch_carb","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Diplosphaera","uncultured bacterium"
"100","788f25619c77abb69cf199dd19233eb4",1.79624553672156,1.77077464034105,0.0254708963805088,1.49351711662697,308.431784489847,317.661489386602,312.868280159157,0.475334359490832,0.475334359490832,0.475334359490832,TRUE,1.79204290765901,1.78906137335225,-0.0029815343067614,"Batch","Single",1,"batch_glu","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Diplosphaera","uncultured bacterium"
"101","78c20e329a7b47d11c13171c92a1aad2",1.75404610044121,1.7688266283997,-0.0147805279584849,1.47018930854908,308.42021389704,317.661553029528,305.843017510874,-0.275777968204771,-0.275777968204771,-0.275777968204771,FALSE,1.79017011613456,1.74600709639398,-0.0441630197405825,"Chemostat","Multi",2,"chemo_carb","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",""
"102","7beab4f249af89a8aab102a03113ba62",1.80903043144918,1.7738201680607,0.0352102633884794,1.5299878818372,308.449873989391,317.661389887061,314.572592346565,0.657294712135628,0.657294712135628,0.657294712135628,TRUE,1.78990739971051,1.80975557767812,0.019848177967611,"Batch","Single",9,"batch_glu","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Azospirillum",""
"103","7beab4f249af89a8aab102a03113ba62",1.78147420558558,1.76904867925665,0.0124255263289288,1.47284840917599,308.421532810951,317.66154577497,310.58783830683,0.231843050726223,0.231843050726223,0.231843050726223,TRUE,1.776996638655,1.77800296645922,0.00100632780421628,"Batch","Multi",9,"batch_carb","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Azospirillum",""
